,Area,N_vertices,Perimetro,Class
422,306.0,2,345.8822498321533,3
423,325.0,2,347.0538227558136,3
424,118.5,2,275.6984843015671,3
425,118.5,2,276.5269113779068,3
426,117.5,2,275.6984843015671,3
427,115.5,2,274.87005722522736,3
428,165.0,2,298.4264061450958,3
429,187.5,2,300.18376553058624,3
430,186.5,2,299.3553384542465,3
431,159.5,2,298.18376553058624,3
432,228.5,2,275.6984843015671,3
433,231.5,2,276.04163014888763,3
434,223.5,2,274.87005722522736,3
435,230.0,2,276.2842707633972,3
436,663.5,2,439.25187265872955,3
437,665.0,2,440.6660863161087,3
438,662.0,2,441.0092315673828,3
439,661.0,2,439.00923228263855,3
440,502.5,2,412.3157947063446,3
441,499.0,2,410.90158116817474,3
442,495.5,2,411.1442217826843,3
443,499.5,2,413.1442219018936,3
444,420.5,2,388.37467074394226,3
445,3.5,5,7.414213538169861,3
446,3.0,5,6.828427076339722,3
447,421.0,2,388.9604569673538,3
448,314.5,2,416.9533175230026,3
449,316.5,2,416.9533175230026,3
450,313.5,2,414.9533175230026,3
451,318.0,2,415.53910398483276,3
452,575.0,2,448.7838325500488,3
453,575.0,2,449.6122599840164,3
454,578.0,2,448.7838318347931,3
455,579.0,2,448.78383207321167,3
456,559.0,2,386.7695519924164,3
457,548.0,2,385.11269783973694,3
458,548.0,2,385.11269783973694,3
459,559.0,2,386.7695519924164,3
460,668.0,2,494.08326029777527,3
461,653.5,2,498.811182141304,3
462,646.5,2,498.811182141304,3
463,669.0,2,494.08326029777527,3
464,761.0,2,534.911687374115,3
465,745.0,2,535.7401144504547,3
466,746.0,2,536.5685415267944,3
467,763.0,2,535.7401144504547,3
468,790.0,2,551.3969686031342,3
469,754.0,2,553.8822498321533,3
470,755.0,2,554.710676908493,3
471,792.0,2,552.2253956794739,3
472,541.0,2,409.55338847637177,3
473,541.0,2,409.55338847637177,3
474,540.0,2,408.7249609231949,3
475,537.0,2,407.55338847637177,3
476,4.0,4,8.0,4
477,4.0,4,8.0,4
478,3.0,5,6.828427076339722,4
479,130.0,2,221.5979790687561,4
480,369.0,2,280.6274166107178,4
481,891.5,6,1273.3208484649658,4
482,310.0,2,288.6274166107178,4
483,306.0,2,283.4558436870575,4
484,242.0,2,365.7401144504547,4
485,698.0,6,1306.4507913589478,4
486,988.0,8,1680.534051656723,4
487,39615.0,4,854.9949476718903,4
488,1064.0,8,1570.8771975040436,4
489,960.0,8,1575.705624461174,4
490,1024.0,8,1576.3919162750244,4
491,1053.0,8,1579.2203433513641,4
492,167.0,2,381.5979790687561,4
493,381.0,2,361.39696860313416,4
494,301.0,2,399.25483322143555,4
495,365.0,2,349.25483322143555,4
496,317.0,2,345.39696860313416,4
497,48.5,2,59.071067690849304,4
498,55.0,2,68.48528122901917,4
499,318.5,2,339.9827550649643,4
500,1398.5,8,1860.5756818056107,4
501,1347.5,8,1861.747254729271,4
502,1310.5,8,1859.7472544908524,4
503,1376.5,8,1856.575681567192,4
504,313.0,2,335.7401144504547,4
505,342.0,2,332.08326029777527,4
506,893.5,6,1228.3502861261368,4
507,317.0,2,334.911687374115,4
508,275.0,2,354.7695519924164,4
509,277.5,2,355.3553384542465,4
510,72.0,3,66.48528122901917,4
511,261.0,2,356.4264061450958,4
512,319.5,2,341.49747383594513,4
513,818.0,6,1340.793937087059,4
514,1130.5,8,1689.605119228363,4
